time_fired,angle,power,targetX,targetY,initX,initY,finalX,finalY,targetHit5/5/15 13:07,55,100,1028,486,147.3135441,553.342716,1070.684949,507.3686937,TRUEtime_fired,angle,power,targetX,targetY,initX,initY,finalX,finalY,targetHit5/5/15 13:07,47,101,1169,555,159.7615004,563.2442675,1212.205051,576.2656368,TRUEtime_fired,angle,power,targetX,targetY,initX,initY,finalX,finalY,targetHit
2015-09-26 17:11:00,56,100,1107.0,531.0,145.66842796235227,552.2236465236946,1106.8049310862443,578.6068172402837,true
time_fired,angle,power,targetX,targetY,initX,initY,finalX,finalY,targetHit
2015-09-26 17:11:10,65,96,1139.0,594.0,128.19075823109392,542.5455834392689,908.6105298047652,721.2113111255426,false
time_fired,angle,power,targetX,targetY,initX,initY,finalX,finalY,targetHit
2015-09-26 17:11:15,55,96,1139.0,594.0,146.70960628519006,552.9272529062379,1130.7817565102234,720.094938901054,false
time_fired,angle,power,targetX,targetY,initX,initY,finalX,finalY,targetHit
2015-09-26 17:11:18,47,96,1139.0,594.0,160.7631860439742,564.1661716197087,1165.4600133856907,633.4143745238844,true
time_fired,angle,power,targetX,targetY,initX,initY,finalX,finalY,targetHit
2015-09-26 17:11:57,67,96,1033.0,516.0,125.21210244462553,541.2550606680041,865.7881655948349,720.6263326452662,false
time_fired,angle,power,targetX,targetY,initX,initY,finalX,finalY,targetHit
2015-09-26 17:12:00,60,96,1033.0,516.0,138.27302121138163,547.6606068808377,1039.6653477736252,720.5248192810806,false
time_fired,angle,power,targetX,targetY,initX,initY,finalX,finalY,targetHit
2015-09-26 17:12:04,60,96,1033.0,516.0,138.27302121138163,547.6606068808377,1039.6653477736252,720.5248192810806,false
time_fired,angle,power,targetX,targetY,initX,initY,finalX,finalY,targetHit
2015-09-26 17:12:07,60,109,1033.0,516.0,138.27302121138163,547.6606068808377,1280.93870820762,703.283030220875,false
time_fired,angle,power,targetX,targetY,initX,initY,finalX,finalY,targetHit
2015-09-26 17:12:12,60,102,1033.0,516.0,138.27302121138163,547.6606068808377,1060.505666571586,556.2432214939918,true
time_fired,angle,power,targetX,targetY,initX,initY,finalX,finalY,targetHit
2015-09-26 17:12:16,60,102,1065.0,577.0,138.27302121138163,547.6606068808377,1092.8292642183847,615.8144360258873,true
time_fired,angle,power,targetX,targetY,initX,initY,finalX,finalY,targetHit
2015-09-26 17:12:22,60,108,1168.0,568.0,138.27302121138163,547.6606068808377,1201.5570751765697,602.7631838296064,true
time_fired,angle,power,targetX,targetY,initX,initY,finalX,finalY,targetHit
2015-09-26 17:12:26,60,101,1035.0,567.0,138.27302121138163,547.6606068808377,1068.4072657573508,600.0676506236166,true
time_fired,angle,power,targetX,targetY,initX,initY,finalX,finalY,targetHit
2015-09-26 17:12:30,60,101,1011.0,474.0,138.27302121138163,547.6606068808377,1023.3523238794467,519.5602962980787,true
time_fired,angle,power,targetX,targetY,initX,initY,finalX,finalY,targetHit
2015-09-26 17:12:34,60,99,1003.0,595.0,138.27302121138163,547.6606068808377,1048.6463383170164,609.4711758838174,true
time_fired,angle,power,targetX,targetY,initX,initY,finalX,finalY,targetHit
2015-09-26 17:12:38,60,104,1156.0,610.0,138.27302121138163,547.6606068808377,1157.135523721664,657.7097406533396,true
time_fired,angle,power,targetX,targetY,initX,initY,finalX,finalY,targetHit
2015-09-26 17:12:41,60,104,1023.0,488.0,138.27302121138163,547.6606068808377,1070.33587847738,499.8290780601454,true
time_fired,angle,power,targetX,targetY,initX,initY,finalX,finalY,targetHit
2015-09-26 17:12:44,60,104,1129.0,593.0,138.27302121138163,547.6606068808377,1146.802232621154,637.4640236779594,true
time_fired,angle,power,targetX,targetY,initX,initY,finalX,finalY,targetHit
2015-09-26 17:12:47,60,104,1124.0,599.0,138.27302121138163,547.6606068808377,1147.835561731205,639.4709553754974,true
time_fired,angle,power,targetX,targetY,initX,initY,finalX,finalY,targetHit
2015-09-26 17:12:56,64,104,1179.0,537.0,131.13343088853006,543.9162112812894,1084.5295828726275,722.0513340462745,false
time_fired,angle,power,targetX,targetY,initX,initY,finalX,finalY,targetHit
2015-09-26 17:12:59,64,111,1179.0,537.0,131.13343088853006,543.9162112812894,1198.797903212823,721.4618669529457,false
time_fired,angle,power,targetX,targetY,initX,initY,finalX,finalY,targetHit
2015-09-26 17:13:02,64,116,1179.0,537.0,131.13343088853006,543.9162112812894,1226.1032792553558,549.380523388782,true
time_fired,angle,power,targetX,targetY,initX,initY,finalX,finalY,targetHit
2015-09-26 17:13:06,64,116,1182.0,470.0,131.13343088853006,543.9162112812894,1206.8041817423987,509.8470536206538,true
time_fired,angle,power,targetX,targetY,initX,initY,finalX,finalY,targetHit
2015-09-26 17:13:10,64,113,1145.0,460.0,131.13343088853006,543.9162112812894,1150.9448147896246,506.9735872901581,true
time_fired,angle,power,targetX,targetY,initX,initY,finalX,finalY,targetHit
2015-09-26 17:13:14,64,113,1195.0,589.0,131.13343088853006,543.9162112812894,1210.3513031722077,633.0055897761107,true
time_fired,angle,power,targetX,targetY,initX,initY,finalX,finalY,targetHit
2015-09-26 17:13:18,64,109,1086.0,560.0,131.13343088853006,543.9162112812894,1112.1758703678431,599.4744878899077,true
time_fired,angle,power,targetX,targetY,initX,initY,finalX,finalY,targetHit
2015-09-26 17:13:24,66,109,1091.0,466.0,127.61699333535017,542.2895266666371,1104.4825032620215,720.2591263359624,false
time_fired,angle,power,targetX,targetY,initX,initY,finalX,finalY,targetHit
2015-09-26 17:13:28,66,113,1091.0,466.0,127.61699333535017,542.2895266666371,1093.5627491619757,513.1309502911497,true
time_fired,angle,power,targetX,targetY,initX,initY,finalX,finalY,targetHit
2015-09-26 17:13:34,66,100,1030.0,597.0,127.61699333535017,542.2895266666371,961.4617833527682,721.8459418692705,false
time_fired,angle,power,targetX,targetY,initX,initY,finalX,finalY,targetHit
2015-09-26 17:13:37,66,106,1030.0,597.0,127.61699333535017,542.2895266666371,1031.115370574679,645.8468996279829,true
time_fired,angle,power,targetX,targetY,initX,initY,finalX,finalY,targetHit
2015-09-26 17:13:41,66,114,1168.0,548.0,127.61699333535017,542.2895266666371,1128.4078038188745,576.3751807810467,true
time_fired,angle,power,targetX,targetY,initX,initY,finalX,finalY,targetHit
2015-09-26 17:13:49,66,114,1066.0,621.0,127.61699333535017,542.2895266666371,1187.6043027753913,722.145577771177,false
time_fired,angle,power,targetX,targetY,initX,initY,finalX,finalY,targetHit
2015-09-26 17:13:53,66,112,1066.0,621.0,127.61699333535017,542.2895266666371,1160.4369714601255,720.971261038922,false
time_fired,angle,power,targetX,targetY,initX,initY,finalX,finalY,targetHit
2015-09-26 17:13:58,66,111,1066.0,621.0,127.61699333535017,542.2895266666371,1105.7267500486596,648.804284073017,true
time_fired,angle,power,targetX,targetY,initX,initY,finalX,finalY,targetHit
2015-09-26 17:14:01,66,111,1016.0,492.0,127.61699333535017,542.2895266666371,1052.6370760412276,524.1449742965905,true
time_fired,angle,power,targetX,targetY,initX,initY,finalX,finalY,targetHit
2015-09-26 17:14:06,66,111,1148.0,533.0,127.61699333535017,542.2895266666371,1134.5211495103176,722.1236331042991,false
time_fired,angle,power,targetX,targetY,initX,initY,finalX,finalY,targetHit
2015-09-26 17:14:11,66,119,1148.0,533.0,127.61699333535017,542.2895266666371,1196.002038971352,535.3915702889107,true
time_fired,angle,power,targetX,targetY,initX,initY,finalX,finalY,targetHit
2015-09-26 17:14:23,91,200,1010.0,517.0,76.6963101072416,532.0221144840517,61.03074077583787,-202.6848847789606,false
time_fired,angle,power,targetX,targetY,initX,initY,finalX,finalY,targetHit
2015-09-26 17:14:46,90,200,1010.0,517.0,77.21983265854504,532.0132048755513,65.11432531715934,-202.7543815741807,false
time_fired,angle,power,targetX,targetY,initX,initY,finalX,finalY,targetHit
2015-09-26 17:14:56,76,200,1010.0,517.0,107.01344366270865,535.3156095522788,304.98115352320093,-201.60452681496233,false
time_fired,angle,power,targetX,targetY,initX,initY,finalX,finalY,targetHit
2015-09-26 17:14:58,69,200,1010.0,517.0,120.82864867397734,539.5261623749373,433.15875670727416,-202.39820069634513,false
time_fired,angle,power,targetX,targetY,initX,initY,finalX,finalY,targetHit
2015-09-26 17:15:02,20,200,1010.0,517.0,191.72725584401434,610.8591955611204,1281.4573172435787,377.42021598071847,false
time_fired,angle,power,targetX,targetY,initX,initY,finalX,finalY,targetHit
2015-09-26 17:15:03,16,200,1010.0,517.0,193.9085632965777,617.4164478239093,1281.7428262248598,447.54461604436557,false
time_fired,angle,power,targetX,targetY,initX,initY,finalX,finalY,targetHit
2015-09-26 17:15:05,10,200,1010.0,517.0,197.17693036146497,631.1622186799684,1280.498518017193,587.8293939923343,false
time_fired,angle,power,targetX,targetY,initX,initY,finalX,finalY,targetHit
2015-09-26 17:15:06,13,200,1010.0,517.0,195.70879244875192,624.0883937195628,1055.48980112129,513.7618192332692,true
time_fired,angle,power,targetX,targetY,initX,initY,finalX,finalY,targetHit
2015-09-26 17:15:08,6,200,1171.0,624.0,198.18047799122525,637.999511944826,1211.245456262807,645.9409317574493,true
time_fired,angle,power,targetX,targetY,initX,initY,finalX,finalY,targetHit
2015-09-26 17:15:10,13,200,1101.0,546.0,195.75732933260554,624.2921302313316,1137.6285286997002,515.0862797756246,true
time_fired,angle,power,targetX,targetY,initX,initY,finalX,finalY,targetHit
2015-09-26 17:15:11,13,200,1086.0,499.0,195.75732933260554,624.2921302313316,1129.8444692007986,515.0480074653412,true
time_fired,angle,power,targetX,targetY,initX,initY,finalX,finalY,targetHit
2015-09-26 17:15:13,13,200,1111.0,520.0,195.75732933260554,624.2921302313316,1157.088677446954,515.2505605513331,true
time_fired,angle,power,targetX,targetY,initX,initY,finalX,finalY,targetHit
2015-09-26 17:15:14,13,200,1156.0,479.0,195.75732933260554,624.2921302313316,1188.2249154425604,515.7172497924669,true
time_fired,angle,power,targetX,targetY,initX,initY,finalX,finalY,targetHit
2015-09-26 17:15:15,13,200,1068.0,491.0,195.75732933260554,624.2921302313316,1110.3843204535447,515.0209266896328,true
time_fired,angle,power,targetX,targetY,initX,initY,finalX,finalY,targetHit
2015-09-26 17:15:16,16,200,1100.0,456.0,194.05836818418317,617.9181586355293,1145.2365719427507,456.22809856845,true
time_fired,angle,power,targetX,targetY,initX,initY,finalX,finalY,targetHit
2015-09-26 17:15:18,14,200,1129.0,467.0,195.01880653049113,621.3465086614842,1169.6065225357488,487.8232434672901,true
time_fired,angle,power,targetX,targetY,initX,initY,finalX,finalY,targetHit
2015-09-26 17:15:20,10,200,1020.0,531.0,197.15870090098286,631.0590974074164,1043.9885664326187,571.1576488568793,true
time_fired,angle,power,targetX,targetY,initX,initY,finalX,finalY,targetHit
2015-09-26 17:15:21,11,200,1134.0,559.0,196.48545669815007,627.5629898631787,1179.4771086817525,546.0904322067782,true
time_fired,angle,power,targetX,targetY,initX,initY,finalX,finalY,targetHit
2015-09-26 17:15:22,11,200,1045.0,556.0,196.48545669815007,627.5629898631787,1089.4021764282732,543.2778050597552,true
time_fired,angle,power,targetX,targetY,initX,initY,finalX,finalY,targetHit
2015-09-26 17:15:24,11,200,1049.0,509.0,196.48545669815007,627.5629898631787,1081.5695736236228,543.131228786101,true
time_fired,angle,power,targetX,targetY,initX,initY,finalX,finalY,targetHit
2015-09-26 17:15:26,8,200,1096.0,566.0,197.71268007227138,634.4700373628881,1123.6998426592072,604.5952760117821,true
time_fired,angle,power,targetX,targetY,initX,initY,finalX,finalY,targetHit
2015-09-26 17:15:27,8,200,1115.0,583.0,197.71268007227138,634.4700373628881,1155.3575234314103,607.368476649351,true
time_fired,angle,power,targetX,targetY,initX,initY,finalX,finalY,targetHit
2015-09-26 17:15:28,8,200,1022.0,605.0,197.71268007227138,634.4700373628881,1068.2989013078518,600.3458548960361,true
time_fired,angle,power,targetX,targetY,initX,initY,finalX,finalY,targetHit
2015-09-26 17:15:29,8,200,1039.0,577.0,197.71268007227138,634.4700373628881,1080.170531597428,601.1917651351246,true
time_fired,angle,power,targetX,targetY,initX,initY,finalX,finalY,targetHit
2015-09-26 17:15:30,8,200,1047.0,604.0,197.71268007227138,634.4700373628881,1092.042161887004,602.072955374213,true
time_fired,angle,power,targetX,targetY,initX,initY,finalX,finalY,targetHit
2015-09-26 17:15:32,15,200,1011.0,471.0,194.38022437255665,619.0241933572735,1059.7583156043186,470.48209597365803,true
time_fired,angle,power,targetX,targetY,initX,initY,finalX,finalY,targetHit
2015-09-26 17:15:33,12,200,1009.0,512.0,196.2454688471315,626.4363532566983,1052.163511179811,533.3903570043135,true
time_fired,angle,power,targetX,targetY,initX,initY,finalX,finalY,targetHit
2015-09-26 17:15:34,12,200,1131.0,512.0,196.2454688471315,626.4363532566983,1173.3208596378615,535.409462557629,true
time_fired,angle,power,targetX,targetY,initX,initY,finalX,finalY,targetHit
2015-09-26 17:15:35,10,200,1004.0,533.0,197.15870090098286,631.0590974074164,1032.172335750782,570.7469230227007,true
time_fired,angle,power,targetX,targetY,initX,initY,finalX,finalY,targetHit
2015-09-26 17:15:37,8,200,1179.0,588.0,197.8175487739125,635.1955332319372,1215.718946207887,620.1851946612578,true
time_fired,angle,power,targetX,targetY,initX,initY,finalX,finalY,targetHit
2015-09-26 17:15:38,13,200,1200.0,494.0,195.90080634618016,624.9038475865505,1236.3497338396471,522.9438516172107,true
time_fired,angle,power,targetX,targetY,initX,initY,finalX,finalY,targetHit
2015-09-26 17:15:40,11,200,1194.0,559.0,196.65319463187853,628.3837811469891,1239.8766893841591,557.1406503566989,true
time_fired,angle,power,targetX,targetY,initX,initY,finalX,finalY,targetHit
2015-09-26 17:15:41,16,200,1139.0,504.0,194.14719961080823,618.21949642488,1153.7364798147144,458.7167091392385,true
time_fired,angle,power,targetX,targetY,initX,initY,finalX,finalY,targetHit
2015-09-26 17:15:43,16,200,1053.0,466.0,194.14719961080823,618.21949642488,1099.9994801232967,461.1730252272344,true
time_fired,angle,power,targetX,targetY,initX,initY,finalX,finalY,targetHit
2015-09-26 17:15:45,16,200,1017.0,495.0,194.14719961080823,618.21949642488,1053.9391946735102,463.8899590169452,true
time_fired,angle,power,targetX,targetY,initX,initY,finalX,finalY,targetHit
2015-09-26 17:15:47,11,200,1026.0,622.0,196.5700419405772,627.9732391261136,1282.1665579573933,555.965296821266,false
time_fired,angle,power,targetX,targetY,initX,initY,finalX,finalY,targetHit
2015-09-26 17:15:48,9,200,1026.0,622.0,197.40571763657795,632.5042047875195,1053.8998792043324,583.3494358410304,true
